Consequent	Antecedent 	Support %	Confidence %
ItemID_169	student_group_F1 and hour_20	0.816107181243283	4.211332312404288
ItemID_107	hour_1 and student_group_F4	1.010448171569975	4.205318491032776
ItemID_154	hour_1 and student_group_F4	1.010448171569975	4.205318491032776
ItemID_26	hour_18 and student_group_F2	0.583647861624216	4.17558886509636
ItemID_169	hour_17 and student_group_F4	0.955457794885895	4.120340091563113
ItemID_146	student_group_F1 and hour_20	0.816107181243283	4.058192955589587
ItemID_138	hour_22 and student_group_F3	3.141325268078087	4.058086333797493
ItemID_134	hour_22 and student_group_F2	3.343789836778564	4.036628667538778
ItemID_169	hour_23 and student_group_F2	4.085535031369511	4.007341694707862
ItemID_128	student_group_F0 and hour_22	0.87859624565701	3.982930298719772
ItemID_25	hour_1 and student_group_F2	1.46599345114605	3.964194373401535
ItemID_123	hour_18 and student_group_F2	0.583647861624216	3.961456102783726
ItemID_164	hour_20 and student_group_F3	2.768265553528133	3.950338600451468
ItemID_169	hour_21 and student_group_F4	1.609093408653486	3.922330097087379
ItemID_130	hour_23 and student_group_F2	4.085535031369511	3.900275313551545
ItemID_130	hour_21 and student_group_F1	0.978578748718974	3.895274584929757
ItemID_138	hour_22 and student_group_F4	1.930287199740046	3.884752347037876
ItemID_151	hour_1 and student_group_F2	1.46599345114605	3.878942881500426
ItemID_107	hour_17 and student_group_F3	1.595970705126603	3.876272513703994
ItemID_1	student_group_F0 and hour_0	0.727372709775789	3.865979381443299
ItemID_130	student_group_F0 and hour_0	0.727372709775789	3.865979381443299
ItemID_25	hour_18 and student_group_F2	0.583647861624216	3.854389721627409
ItemID_124	hour_20 and student_group_F4	1.760316944534706	3.833865814696486
ItemID_107	hour_22 and student_group_F2	3.343789836778564	3.831059615025229
ItemID_134	student_group_F1 and hour_20	0.816107181243283	3.828483920367534
ItemID_134	hour_22 and student_group_F3	3.141325268078087	3.819375372985876
ItemID_169	hour_17 and student_group_F2	3.988676981528232	3.8069873100423
ItemID_146	student_group_F0 and hour_23	0.757367460694379	3.795379537953795
ItemID_142	hour_20 and student_group_F3	2.768265553528133	3.792325056433409
ItemID_107	hour_23 and student_group_F3	3.704976629089909	3.778040141676505
ItemID_154	student_group_F0 and hour_20	2.110880595895718	3.759621077560687
ItemID_142	student_group_F1 and hour_20	0.816107181243283	3.751914241960184
ItemID_107	hour_1 and student_group_F2	1.46599345114605	3.751065643648764
ItemID_169	student_group_F4 and hour_23	2.295848226560352	3.728905824714208
ItemID_128	hour_20 and student_group_F4	1.760316944534706	3.727369542066028
ItemID_22	hour_1 and student_group_F3	1.400379933511635	3.703703703703703
ItemID_128	hour_20 and student_group_F2	2.39958007348714	3.697916666666667
ItemID_164	hour_20 and student_group_F4	1.760316944534706	3.691870784522542
ItemID_124	hour_20 and student_group_F3	2.768265553528133	3.679458239277653
ItemID_128	student_group_F1 and hour_20	0.816107181243283	3.675344563552833
ItemID_15	hour_18 and student_group_F2	0.583647861624216	3.640256959314775
ItemID_130	hour_21 and student_group_F2	2.165246081935661	3.607503607503607
ItemID_107	hour_17 and student_group_F4	0.955457794885895	3.597122302158273
ItemID_164	hour_20 and student_group_F2	2.39958007348714	3.59375
ItemID_25	hour_1 and student_group_F1	0.904216762066638	3.59364201796821
ItemID_169	hour_20 and student_group_F2	2.39958007348714	3.567708333333333
ItemID_134	hour_21 and student_group_F2	2.165246081935661	3.54978354978355
ItemID_107	hour_0 and student_group_F3	3.055090359187143	3.538555941910411
ItemID_22	hour_18 and student_group_F2	0.583647861624216	3.533190578158459
